file,column,inferred_type,non_empty_sample_count,example_values
data/results_and_gis/1974 Proposal/1974 30 min accessibility v2.csv,num_opportunities,integer,500,1; 2; 3
data/results_and_gis/1974 Proposal/1974 30 min accessibility v2.csv,EMP_2016,numeric,500,304694.0583; 390046.5602; 508230.7839
data/results_and_gis/1974 Proposal/1974 30 min accessibility v2.csv,unnamed_3,numeric,500,304694.0583; 390046.5602; 505826.8442
data/results_and_gis/1974 Proposal/1974 30 min accessibility v2.csv,unnamed_4,numeric,500,1.68E-05; -4.51E-05; 2403.939717
data/results_and_gis/1974 Proposal/1974 30 min accessibility v2.csv,ERP_2016,numeric,500,0.00010299; 0.00010299; 0.00010299
data/results_and_gis/1974 Proposal/1974 30 min accessibility v2.csv,unnamed_6,numeric,500,6.83E-06; 8.75E-06; 1.14E-05
data/results_and_gis/1974 Proposal/1974 30 min accessibility v2.csv,unnamed_7,integer,1,"42,726"
data/results_and_gis/1974 Proposal/1974 45 min accessibility v2.csv,num_opportunities,integer,500,1; 2; 3
data/results_and_gis/1974 Proposal/1974 45 min accessibility v2.csv,EMP_2016,numeric,500,637053.0488; 762025.5442; 922335.6475
data/results_and_gis/1974 Proposal/1974 45 min accessibility v2.csv,unnamed_3,numeric,500,637053.0488; 754544.0389; 912192.6289
data/results_and_gis/1974 Proposal/1974 45 min accessibility v2.csv,unnamed_4,numeric,500,0; 7481.505336; 10143.01865
data/results_and_gis/1974 Proposal/1974 45 min accessibility v2.csv,ERP_2016,numeric,500,0.00010299; 0.00010299; 0.00010299
data/results_and_gis/1974 Proposal/1974 45 min accessibility v2.csv,unnamed_6,numeric,500,1.43E-05; 1.71E-05; 2.07E-05
data/results_and_gis/1974 Proposal/1974 45 min accessibility v2.csv,unnamed_7,integer,1,"178,109"
data/results_and_gis/1974 Proposal/1974 60 min accessibility v2.csv,num_opportunities,integer,500,1; 2; 3
data/results_and_gis/1974 Proposal/1974 60 min accessibility v2.csv,EMP_2016,numeric,500,1111625.755; 1197110.204; 1338526.604
data/results_and_gis/1974 Proposal/1974 60 min accessibility v2.csv,unnamed_3,numeric,500,1099931.164; 1188749.677; 1336597.471
data/results_and_gis/1974 Proposal/1974 60 min accessibility v2.csv,unnamed_4,numeric,500,11694.59058; 8360.527733; 1929.132987
data/results_and_gis/1974 Proposal/1974 60 min accessibility v2.csv,ERP_2016,numeric,500,0.00010299; 0.00010299; 0.00010299
data/results_and_gis/1974 Proposal/1974 60 min accessibility v2.csv,unnamed_6,numeric,500,2.49E-05; 2.68E-05; 3.00E-05
data/results_and_gis/1974 Proposal/1974 60 min accessibility v2.csv,unnamed_7,integer,1,"443,829"
data/results_and_gis/1974 Proposal/1974 LVA.csv,num_opportunities,integer,500,1; 2; 3
data/results_and_gis/1974 Proposal/1974 LVA.csv,Base 30 Mins,numeric,500,304694.0583; 390046.5602; 505826.8442
data/results_and_gis/1974 Proposal/1974 LVA.csv,30 Mins,numeric,500,1.68E-05; -4.51E-05; 2403.939717
data/results_and_gis/1974 Proposal/1974 LVA.csv,Base 45 Mins,numeric,500,637053.0488; 754544.0389; 912192.6289
data/results_and_gis/1974 Proposal/1974 LVA.csv,45 Mins,numeric,500,0; 7481.505336; 10143.01865
data/results_and_gis/1974 Proposal/1974 LVA.csv,Base 60 Mins,numeric,500,1099931.164; 1188749.677; 1336597.471
data/results_and_gis/1974 Proposal/1974 LVA.csv,60 Mins,numeric,500,11694.59058; 8360.527733; 1929.132987
data/results_and_gis/1974 Proposal/1974 LVA.csv,TZ16_CODE,integer,500,1; 2; 3
data/results_and_gis/1974 Proposal/1974 LVA.csv,unnamed_9,text,500,YES; YES; YES
data/results_and_gis/1974 Proposal/1974 LVA.csv,TZ16_NAME,text,500,Barangaroo_Headland Park; Barangaroo_Northern Cove; Barangaroo_Southern Cove
data/results_and_gis/1974 Proposal/1974 LVA.csv,Tz16_Area,numeric,500,64884.12626; 74488.64591; 30794.77399
data/results_and_gis/1974 Proposal/1974 LVA.csv,30 Min Lin,numeric,500,3.54E-02; -1.09E-01; 2.41E+06
data/results_and_gis/1974 Proposal/1974 LVA.csv,45 Min Lin,numeric,500,0.00E+00; 6.07E+06; 3.40E+06
data/results_and_gis/1974 Proposal/1974 LVA.csv,60 Min Lin,numeric,500,3.87E+06; 3.18E+06; 3.03E+05
data/results_and_gis/1974 Proposal/1974 LVA.csv,30 Min Log,empty_or_unknown,0,
data/results_and_gis/1974 Proposal/1974 LVA.csv,45 Min Log,empty_or_unknown,0,
data/results_and_gis/1974 Proposal/1974 LVA.csv,60 Min Log,empty_or_unknown,0,
data/results_and_gis/1974 Proposal/1974 LVA.csv,unnamed_18,empty_or_unknown,0,
data/results_and_gis/1974 Proposal/1974 LVA.csv,unnamed_19,text,6,30 Min Lin; 45 Min Lin; 60 Min Lin
data/results_and_gis/1974 Proposal/1974 LVA.csv,Coefficients,text,10,30 Min; 45 Min; 60 Min
data/results_and_gis/1974 Proposal/1974 LVA.csv,Linear,text,10,0.0325; 0.0109; 0.0051
data/results_and_gis/1974 Proposal/1974 LVA.csv,Log,text,10,0.2052; 0.2229; 0.2201
data/results_and_gis/1974 Proposal/1974 LVA.csv,unnamed_23,text,7,"Randwick; $5,277.23; $9,404.08"
data/results_and_gis/1974 Proposal/1974 LVA.csv,Land Values,text,11,Woollahra; Waverley; Randwick
data/results_and_gis/1974 Proposal/1974 LVA.csv,unnamed_25,text,5,"$68,059.76; $45,903.15; $64,692.20"
data/results_and_gis/1974 Proposal/1974 LVA_v2.csv,num_opportunities,integer,500,1; 2; 3
data/results_and_gis/1974 Proposal/1974 LVA_v2.csv,Base 30 Mins,numeric,500,304694.0583; 390046.5602; 505826.8442
data/results_and_gis/1974 Proposal/1974 LVA_v2.csv,30 Mins,numeric,500,1.68E-05; -4.51E-05; 2403.939717
data/results_and_gis/1974 Proposal/1974 LVA_v2.csv,Base 45 Mins,numeric,500,637053.0488; 754544.0389; 912192.6289
data/results_and_gis/1974 Proposal/1974 LVA_v2.csv,45 Mins,numeric,500,0; 7481.505336; 10143.01865
data/results_and_gis/1974 Proposal/1974 LVA_v2.csv,Base 60 Mins,numeric,500,1099931.164; 1188749.677; 1336597.471
data/results_and_gis/1974 Proposal/1974 LVA_v2.csv,60 Mins,numeric,500,11694.59058; 8360.527733; 1929.132987
data/results_and_gis/1974 Proposal/1974 LVA_v2.csv,TZ16_CODE,integer,500,1; 2; 3
data/results_and_gis/1974 Proposal/1974 LVA_v2.csv,unnamed_9,text,500,YES; YES; YES
data/results_and_gis/1974 Proposal/1974 LVA_v2.csv,TZ16_NAME,text,500,Barangaroo_Headland Park; Barangaroo_Northern Cove; Barangaroo_Southern Cove
data/results_and_gis/1974 Proposal/1974 LVA_v2.csv,Tz16_Area,numeric,500,64884.12626; 74488.64591; 30794.77399
data/results_and_gis/1974 Proposal/1974 LVA_v2.csv,30 Min Lin,numeric,500,3.54E-02; -1.09E-01; 2.41E+06
data/results_and_gis/1974 Proposal/1974 LVA_v2.csv,45 Min Lin,numeric,500,0.00E+00; 6.07E+06; 3.40E+06
data/results_and_gis/1974 Proposal/1974 LVA_v2.csv,60 Min Lin,numeric,500,3.87E+06; 3.18E+06; 3.03E+05
data/results_and_gis/1974 Proposal/TravelZone_Uplift.csv,TZ16_CODE,integer,500,3; 4; 5
data/results_and_gis/1974 Proposal/TravelZone_Uplift.csv,30_lin,numeric,500,9936924.018231193; 0.00028997345; 0.060446568
data/results_and_gis/1974 Proposal/TravelZone_Uplift.csv,45_lin,numeric,500,14061730.08048682; 1006633.065871787; 9108362.53375901
data/results_and_gis/1974 Proposal/TravelZone_Uplift.csv,60_lin,numeric,500,1251345.910527066; 62566.09039430281; 566119.5244886305
data/results_and_gis/1974 Proposal/TravelZone_Uplift.csv,30_log,numeric,500,866298.2951979386; 1.8658407936535812e-05; 0.00502488709714385
data/results_and_gis/1974 Proposal/TravelZone_Uplift.csv,45_log,numeric,500,2201705.047699546; 116001.45986189903; 1357232.5751685053
data/results_and_gis/1974 Proposal/TravelZone_Uplift.csv,60_log,numeric,500,282195.4316806476; 10624.105349990648; 123272.41328847024
data/results_and_gis/1974 Proposal/TravelZone_Uplift.csv,Average_Price,numeric,500,6904895.715909484; 356399.7188068019; 3224827.363661122
data/results_and_gis/2001 Proposal/2001 30 min accessibility.csv,num_opportunities,integer,500,1; 2; 3
data/results_and_gis/2001 Proposal/2001 30 min accessibility.csv,EMP_2016,numeric,500,304694.0583; 390046.5602; 508230.7839
data/results_and_gis/2001 Proposal/2001 30 min accessibility.csv,unnamed_3,numeric,500,304694.0583; 390046.5602; 505826.8442
data/results_and_gis/2001 Proposal/2001 30 min accessibility.csv,unnamed_4,numeric,500,1.68E-05; -4.51E-05; 2403.939717
data/results_and_gis/2001 Proposal/2001 30 min accessibility.csv,ERP_2016,numeric,500,0.00010299; 0.00010299; 0.00010299
data/results_and_gis/2001 Proposal/2001 30 min accessibility.csv,unnamed_6,numeric,500,6.83E-06; 8.75E-06; 1.14E-05
data/results_and_gis/2001 Proposal/2001 30 min accessibility.csv,unnamed_7,integer,1,"42,515"
data/results_and_gis/2001 Proposal/2001 45 min accessibility.csv,num_opportunities,integer,500,1; 2; 3
data/results_and_gis/2001 Proposal/2001 45 min accessibility.csv,EMP_2016,numeric,500,638169.718; 756455.1975; 917050.0651
data/results_and_gis/2001 Proposal/2001 45 min accessibility.csv,unnamed_3,numeric,500,637053.0488; 754544.0389; 912192.6289
data/results_and_gis/2001 Proposal/2001 45 min accessibility.csv,unnamed_4,numeric,500,1116.66923; 1911.15858; 4857.436198
data/results_and_gis/2001 Proposal/2001 45 min accessibility.csv,ERP_2016,numeric,500,0.00010299; 0.00010299; 0.00010299
data/results_and_gis/2001 Proposal/2001 45 min accessibility.csv,unnamed_6,numeric,500,1.43E-05; 1.70E-05; 2.06E-05
data/results_and_gis/2001 Proposal/2001 45 min accessibility.csv,unnamed_7,integer,1,"177,614"
data/results_and_gis/2001 Proposal/2001 60 min accessibility.csv,num_opportunities,integer,500,1; 2; 3
data/results_and_gis/2001 Proposal/2001 60 min accessibility.csv,EMP_2016,numeric,500,1102424.972; 1189866.249; 1336597.471
data/results_and_gis/2001 Proposal/2001 60 min accessibility.csv,unnamed_3,numeric,500,1099931.164; 1188749.677; 1336597.471
data/results_and_gis/2001 Proposal/2001 60 min accessibility.csv,unnamed_4,numeric,500,2493.807315; 1116.572927; 0
data/results_and_gis/2001 Proposal/2001 60 min accessibility.csv,ERP_2016,numeric,500,0.00010299; 0.00010299; 0.00010299
data/results_and_gis/2001 Proposal/2001 60 min accessibility.csv,unnamed_6,numeric,500,2.47E-05; 2.67E-05; 3.00E-05
data/results_and_gis/2001 Proposal/2001 60 min accessibility.csv,unnamed_7,integer,1,"443,145"
data/results_and_gis/2001 Proposal/2001 LVAv2.csv,num_opportunities,integer,500,1; 2; 3
data/results_and_gis/2001 Proposal/2001 LVAv2.csv,Base 30 Mins,numeric,500,304694.0583; 390046.5602; 505826.8442
data/results_and_gis/2001 Proposal/2001 LVAv2.csv,30 Mins,numeric,500,1.68E-05; -4.51E-05; 2403.939717
data/results_and_gis/2001 Proposal/2001 LVAv2.csv,Base 45 Mins,numeric,500,637053.0488; 754544.0389; 912192.6289
data/results_and_gis/2001 Proposal/2001 LVAv2.csv,45 Mins,numeric,500,1116.66923; 1911.15858; 4857.436198
data/results_and_gis/2001 Proposal/2001 LVAv2.csv,Base 60 Mins,numeric,500,1099931.164; 1188749.677; 1336597.471
data/results_and_gis/2001 Proposal/2001 LVAv2.csv,60 Mins,numeric,500,2493.807315; 1116.572927; 0
data/results_and_gis/2001 Proposal/2001 LVAv2.csv,TZ16_CODE,integer,500,1; 2; 3
data/results_and_gis/2001 Proposal/2001 LVAv2.csv,unnamed_9,text,500,YES; YES; YES
data/results_and_gis/2001 Proposal/2001 LVAv2.csv,TZ16_NAME,text,500,Barangaroo_Headland Park; Barangaroo_Northern Cove; Barangaroo_Southern Cove
data/results_and_gis/2001 Proposal/2001 LVAv2.csv,Tz16_Area,numeric,500,64884.12626; 74488.64591; 30794.77399
data/results_and_gis/2001 Proposal/2001 LVAv2.csv,SA2_Name16,text,500,Sydney - Haymarket - The Rocks; Sydney - Haymarket - The Rocks; Sydney - Haymarket - The Rocks
data/results_and_gis/2001 Proposal/2001 LVAv2.csv,unnamed_13,empty_or_unknown,0,
data/results_and_gis/2001 Proposal/2001 LVAv2.csv,unnamed_14,empty_or_unknown,0,
data/results_and_gis/2001 Proposal/2001 LVAv2.csv,unnamed_15,empty_or_unknown,0,
data/results_and_gis/2001 Proposal/2001 LVAv2.csv,unnamed_16,empty_or_unknown,0,
data/results_and_gis/2001 Proposal/2001 LVAv2.csv,unnamed_17,empty_or_unknown,0,
data/results_and_gis/2001 Proposal/2001 LVAv2.csv,unnamed_18,empty_or_unknown,0,
data/results_and_gis/2001 Proposal/2001 LVAv2.csv,unnamed_19,empty_or_unknown,0,
data/results_and_gis/2001 Proposal/2001 LVAv2.csv,unnamed_20,empty_or_unknown,0,
data/results_and_gis/2001 Proposal/2001 LVAv2.csv,unnamed_21,empty_or_unknown,0,
data/results_and_gis/2001 Proposal/TravelZone_Uplift.csv,TZ16_CODE,integer,500,3; 4; 5
data/results_and_gis/2001 Proposal/TravelZone_Uplift.csv,30_lin,numeric,500,9936924.018231193; 0.00028997345; 0.060446568
data/results_and_gis/2001 Proposal/TravelZone_Uplift.csv,45_lin,numeric,500,6734085.685572719; 689146.2987786491; 2974053.2620480247
data/results_and_gis/2001 Proposal/TravelZone_Uplift.csv,60_lin,numeric,500,0.0; 25797.767129659802; 233427.07796300642
data/results_and_gis/2001 Proposal/TravelZone_Uplift.csv,30_log,numeric,500,866298.2951979386; 1.8658407936535812e-05; 0.00502488709714385
data/results_and_gis/2001 Proposal/TravelZone_Uplift.csv,45_log,numeric,500,1054384.5146153895; 79415.21039497603; 443162.19875713316
data/results_and_gis/2001 Proposal/TravelZone_Uplift.csv,60_log,numeric,500,0.0; 4380.618863233123; 50828.69956369714
data/results_and_gis/2001 Proposal/TravelZone_Uplift.csv,Average_Price,numeric,500,4045232.280762428; 238314.68868754164; 1069160.1242489195
data/results_and_gis/2001 Proposal/opportunities_2001_30mins.csv,num_opportunities,integer,500,1; 2; 3
data/results_and_gis/2001 Proposal/opportunities_2001_30mins.csv,EMP_2016,numeric,500,304694.0583; 389946.2795; 508230.7839
data/results_and_gis/2001 Proposal/opportunities_2001_30mins.csv,unnamed_3,numeric,500,304694.0583; 389946.2795; 505826.8442
data/results_and_gis/2001 Proposal/opportunities_2001_30mins.csv,unnamed_4,numeric,500,0; 0; 2403.939688
data/results_and_gis/2001 Proposal/opportunities_2001_60mins.csv,num_opportunities,integer,500,1; 2; 3
data/results_and_gis/2001 Proposal/opportunities_2001_60mins.csv,EMP_2016,numeric,500,1111474.252187682; 1186846.583683712; 1338120.252436902
data/results_and_gis/2001 Proposal/opportunities_2001_60mins.csv,unnamed_3,numeric,500,1108980.444872382; 1185730.010757112; 1338120.252436902
data/results_and_gis/2001 Proposal/opportunities_2001_60mins.csv,unnamed_4,numeric,500,2493.807315; 1116.572927; 0
data/results_and_gis/2056 Stage 1/2056 Metro Stage 1 LVA v2.csv,num_opportunities,integer,500,1; 2; 3
data/results_and_gis/2056 Stage 1/2056 Metro Stage 1 LVA v2.csv,Base 30 Mins,numeric,500,304694.0583; 390046.5602; 505826.8442
data/results_and_gis/2056 Stage 1/2056 Metro Stage 1 LVA v2.csv,30 Mins,numeric,500,594.9463575; 10833.30486; 15799.42248
data/results_and_gis/2056 Stage 1/2056 Metro Stage 1 LVA v2.csv,Base 45 Mins,numeric,500,637053.0488; 754544.0389; 912192.6289
data/results_and_gis/2056 Stage 1/2056 Metro Stage 1 LVA v2.csv,45 Mins,numeric,500,16698.61852; 38496.15656; 33995.36414
data/results_and_gis/2056 Stage 1/2056 Metro Stage 1 LVA v2.csv,Base 60 Mins,numeric,500,1099931.164; 1188749.677; 1336597.471
data/results_and_gis/2056 Stage 1/2056 Metro Stage 1 LVA v2.csv,60 Mins,numeric,500,22264.08323; 30061.44041; 14318.53992
data/results_and_gis/2056 Stage 1/2056 Metro Stage 1 LVA v2.csv,TZ16_CODE,integer,500,1; 2; 3
data/results_and_gis/2056 Stage 1/2056 Metro Stage 1 LVA v2.csv,unnamed_9,text,500,YES; YES; YES
data/results_and_gis/2056 Stage 1/2056 Metro Stage 1 LVA v2.csv,TZ16_NAME,text,500,Barangaroo_Headland Park; Barangaroo_Northern Cove; Barangaroo_Southern Cove
data/results_and_gis/2056 Stage 1/2056 Metro Stage 1 LVA v2.csv,Tz16_Area,numeric,500,64884.12626; 74488.64591; 30794.77399
data/results_and_gis/2056 Stage 1/2056 Stage 1 30 mins.csv,num_opportunities,integer,500,1; 2; 3
data/results_and_gis/2056 Stage 1/2056 Stage 1 30 mins.csv,EMP_2016,numeric,500,304694.0583; 390544.8262; 518609.44445429003
data/results_and_gis/2056 Stage 1/2056 Stage 1 30 mins.csv,unnamed_3,numeric,500,304694.0583; 389946.2795; 505826.8442
data/results_and_gis/2056 Stage 1/2056 Stage 1 30 mins.csv,unnamed_4,numeric,500,0; 598.5466444; 12782.60023
data/results_and_gis/2056 Stage 1/2056 Stage 1 60 mins.csv,num_opportunities,integer,500,1; 2; 3
data/results_and_gis/2056 Stage 1/2056 Stage 1 60 mins.csv,EMP_2016,numeric,500,1144934.481866102; 1218730.873466732; 1356827.589934492
data/results_and_gis/2056 Stage 1/2056 Stage 1 60 mins.csv,unnamed_3,numeric,500,1108980.444872382; 1185730.010757112; 1338120.252436902
data/results_and_gis/2056 Stage 1/2056 Stage 1 60 mins.csv,unnamed_4,numeric,500,35954.03699; 33000.86271; 18707.3375
data/results_and_gis/2056 Stage 1/2056 Stage 1v2 30 mins.csv,num_opportunities,integer,500,1; 2; 3
data/results_and_gis/2056 Stage 1/2056 Stage 1v2 30 mins.csv,EMP_2016,numeric,500,305289.0047; 400879.8651; 521626.2667
data/results_and_gis/2056 Stage 1/2056 Stage 1v2 30 mins.csv,unnamed_3,numeric,500,304694.0583; 390046.5602; 505826.8442
data/results_and_gis/2056 Stage 1/2056 Stage 1v2 30 mins.csv,unnamed_4,numeric,500,594.9463575; 10833.30486; 15799.42248
data/results_and_gis/2056 Stage 1/2056 Stage 1v2 30 mins.csv,ERP_2016,numeric,500,0.00010299; 0.00010299; 0.00010299
data/results_and_gis/2056 Stage 1/2056 Stage 1v2 30 mins.csv,unnamed_6,numeric,500,6.85E-06; 8.99E-06; 1.17E-05
data/results_and_gis/2056 Stage 1/2056 Stage 1v2 30 mins.csv,unnamed_7,integer,1,"45,857"
data/results_and_gis/2056 Stage 1/2056 Stage 1v2 45 mins.csv,num_opportunities,integer,500,1; 2; 3
data/results_and_gis/2056 Stage 1/2056 Stage 1v2 45 mins.csv,EMP_2016,numeric,500,653751.6673; 793040.1955; 946187.993
data/results_and_gis/2056 Stage 1/2056 Stage 1v2 45 mins.csv,unnamed_3,numeric,500,637053.0488; 754544.0389; 912192.6289
data/results_and_gis/2056 Stage 1/2056 Stage 1v2 45 mins.csv,unnamed_4,numeric,500,16698.61852; 38496.15656; 33995.36414
data/results_and_gis/2056 Stage 1/2056 Stage 1v2 45 mins.csv,ERP_2016,numeric,500,0.00010299; 0.00010299; 0.00010299
data/results_and_gis/2056 Stage 1/2056 Stage 1v2 45 mins.csv,unnamed_6,numeric,500,1.47E-05; 1.78E-05; 2.12E-05
data/results_and_gis/2056 Stage 1/2056 Stage 1v2 45 mins.csv,unnamed_7,integer,1,"185,390"
data/results_and_gis/2056 Stage 1/2056 Stage 1v2 60 mins.csv,num_opportunities,integer,500,1; 2; 3
data/results_and_gis/2056 Stage 1/2056 Stage 1v2 60 mins.csv,EMP_2016,numeric,500,1122195.248; 1218811.117; 1350916.011
data/results_and_gis/2056 Stage 1/2056 Stage 1v2 60 mins.csv,unnamed_3,numeric,500,1099931.164; 1188749.677; 1336597.471
data/results_and_gis/2056 Stage 1/2056 Stage 1v2 60 mins.csv,unnamed_4,numeric,500,22264.08323; 30061.44041; 14318.53992
data/results_and_gis/2056 Stage 1/2056 Stage 1v2 60 mins.csv,ERP_2016,numeric,500,0.00010299; 0.00010299; 0.00010299
data/results_and_gis/2056 Stage 1/2056 Stage 1v2 60 mins.csv,unnamed_6,numeric,500,2.52E-05; 2.73E-05; 3.03E-05
data/results_and_gis/2056 Stage 1/2056 Stage 1v2 60 mins.csv,unnamed_7,integer,1,"453,167"
data/results_and_gis/2056 Stage 1/V2/2056 Metro Stage 1 LVA v3.csv,num_opportunities,integer,500,1; 2; 3
data/results_and_gis/2056 Stage 1/V2/2056 Metro Stage 1 LVA v3.csv,Base 30 Mins,numeric,500,304694.0583; 390046.5602; 505826.8442
data/results_and_gis/2056 Stage 1/V2/2056 Metro Stage 1 LVA v3.csv,30 Mins,numeric,500,594.9463575; 10833.30486; 15694.69075
data/results_and_gis/2056 Stage 1/V2/2056 Metro Stage 1 LVA v3.csv,Base 45 Mins,numeric,500,637053.0488; 754544.0389; 912192.6289
data/results_and_gis/2056 Stage 1/V2/2056 Metro Stage 1 LVA v3.csv,45 Mins,numeric,500,6831.805063; 33649.95699; 15481.10002
data/results_and_gis/2056 Stage 1/V2/2056 Metro Stage 1 LVA v3.csv,Base 60 Mins,numeric,500,1099931.164; 1188749.677; 1336597.471
data/results_and_gis/2056 Stage 1/V2/2056 Metro Stage 1 LVA v3.csv,60 Mins,numeric,500,16467.59351; 24167.85253; 11610.21834
data/results_and_gis/2056 Stage 1/V2/2056 Metro Stage 1 LVA v3.csv,TZ16_CODE,integer,500,1; 2; 3
data/results_and_gis/2056 Stage 1/V2/2056 Metro Stage 1 LVA v3.csv,unnamed_9,text,500,YES; YES; YES
data/results_and_gis/2056 Stage 1/V2/2056 Metro Stage 1 LVA v3.csv,TZ16_NAME,text,500,Barangaroo_Headland Park; Barangaroo_Northern Cove; Barangaroo_Southern Cove
data/results_and_gis/2056 Stage 1/V2/2056 Metro Stage 1 LVA v3.csv,Tz16_Area,numeric,500,64884.12626; 74488.64591; 30794.77399
data/results_and_gis/2056 Stage 1/V2/2056 Stage 1v3 30 mins.csv,num_opportunities,integer,500,1; 2; 3
data/results_and_gis/2056 Stage 1/V2/2056 Stage 1v3 30 mins.csv,EMP_2016,numeric,500,305289.0047; 400879.8651; 521521.5349
data/results_and_gis/2056 Stage 1/V2/2056 Stage 1v3 30 mins.csv,unnamed_3,numeric,500,304694.0583; 390046.5602; 505826.8442
data/results_and_gis/2056 Stage 1/V2/2056 Stage 1v3 30 mins.csv,unnamed_4,numeric,500,594.9463575; 10833.30486; 15694.69075
data/results_and_gis/2056 Stage 1/V2/2056 Stage 1v3 30 mins.csv,ERP_2016,numeric,500,0.00010299; 0.00010299; 0.00010299
data/results_and_gis/2056 Stage 1/V2/2056 Stage 1v3 30 mins.csv,unnamed_6,numeric,500,6.85E-06; 8.99E-06; 1.17E-05
data/results_and_gis/2056 Stage 1/V2/2056 Stage 1v3 30 mins.csv,unnamed_7,integer,1,"44,755"
data/results_and_gis/2056 Stage 1/V2/2056 Stage 1v3 45 mins.csv,num_opportunities,integer,500,1; 2; 3
data/results_and_gis/2056 Stage 1/V2/2056 Stage 1v3 45 mins.csv,EMP_2016,numeric,500,643884.8539; 788193.9959; 927673.7289
data/results_and_gis/2056 Stage 1/V2/2056 Stage 1v3 45 mins.csv,unnamed_3,numeric,500,637053.0488; 754544.0389; 912192.6289
data/results_and_gis/2056 Stage 1/V2/2056 Stage 1v3 45 mins.csv,unnamed_4,numeric,500,6831.805063; 33649.95699; 15481.10002
data/results_and_gis/2056 Stage 1/V2/2056 Stage 1v3 45 mins.csv,ERP_2016,numeric,500,0.00010299; 0.00010299; 0.00010299
data/results_and_gis/2056 Stage 1/V2/2056 Stage 1v3 45 mins.csv,unnamed_6,numeric,500,1.44E-05; 1.77E-05; 2.08E-05
data/results_and_gis/2056 Stage 1/V2/2056 Stage 1v3 45 mins.csv,unnamed_7,integer,1,"182,509"
data/results_and_gis/2056 Stage 1/V2/2056 Stage 1v3 60 mins.csv,num_opportunities,integer,500,1; 2; 3
data/results_and_gis/2056 Stage 1/V2/2056 Stage 1v3 60 mins.csv,EMP_2016,numeric,500,1116398.758; 1212917.53; 1348207.689
data/results_and_gis/2056 Stage 1/V2/2056 Stage 1v3 60 mins.csv,unnamed_3,numeric,500,1099931.164; 1188749.677; 1336597.471
data/results_and_gis/2056 Stage 1/V2/2056 Stage 1v3 60 mins.csv,unnamed_4,numeric,500,16467.59351; 24167.85253; 11610.21834
data/results_and_gis/2056 Stage 1/V2/2056 Stage 1v3 60 mins.csv,ERP_2016,numeric,500,0.00010299; 0.00010299; 0.00010299
data/results_and_gis/2056 Stage 1/V2/2056 Stage 1v3 60 mins.csv,unnamed_6,numeric,500,2.50E-05; 2.72E-05; 3.02E-05
data/results_and_gis/2056 Stage 1/V2/2056 Stage 1v3 60 mins.csv,unnamed_7,integer,1,"449,850"
data/results_and_gis/2056 Stage 1/V2/TravelZone_Uplift.csv,TZ16_CODE,integer,500,3; 4; 5
data/results_and_gis/2056 Stage 1/V2/TravelZone_Uplift.csv,30_lin,numeric,500,64875565.876091346; 1917992.5749143253; 24713650.849703398
data/results_and_gis/2056 Stage 1/V2/TravelZone_Uplift.csv,45_lin,numeric,500,21462156.123538144; 1858693.6662290192; 16818100.25981981
data/results_and_gis/2056 Stage 1/V2/TravelZone_Uplift.csv,60_lin,numeric,500,7531051.170649722; 297413.227225278; 2691097.317622224
data/results_and_gis/2056 Stage 1/V2/TravelZone_Uplift.csv,30_log,numeric,500,5655833.939692697; 123413.67074122888; 2054431.035323507
data/results_and_gis/2056 Stage 1/V2/TravelZone_Uplift.csv,45_log,numeric,500,3360421.3138241195; 214190.4394248197; 2506056.762724953
data/results_and_gis/2056 Stage 1/V2/TravelZone_Uplift.csv,60_log,numeric,500,1698353.9229495698; 50502.58756154889; 585985.9029541081
data/results_and_gis/2056 Stage 1/V2/TravelZone_Uplift.csv,Average_Price,numeric,500,21419635.73402663; 1058936.6720940247; 10964412.83998516
data/results_and_gis/2056 Stage 2/2056 Metro Stage 1&2 LVA v2.csv,num_opportunities,integer,500,1; 2; 3
data/results_and_gis/2056 Stage 2/2056 Metro Stage 1&2 LVA v2.csv,Base 30 Mins,numeric,500,304694.0583; 390046.5602; 505826.8442
data/results_and_gis/2056 Stage 2/2056 Metro Stage 1&2 LVA v2.csv,30 Mins,numeric,500,594.9463575; 10833.30486; 15799.42248
data/results_and_gis/2056 Stage 2/2056 Metro Stage 1&2 LVA v2.csv,Base 45 Mins,numeric,500,637053.0488; 754544.0389; 912192.6289
data/results_and_gis/2056 Stage 2/2056 Metro Stage 1&2 LVA v2.csv,45 Mins,numeric,500,15016.10651; 44322.25901; 34957.38322
data/results_and_gis/2056 Stage 2/2056 Metro Stage 1&2 LVA v2.csv,Base 60 Mins,numeric,500,1099931.164; 1188749.677; 1336597.471
data/results_and_gis/2056 Stage 2/2056 Metro Stage 1&2 LVA v2.csv,60 Mins,numeric,500,23824.23314; 30940.87909; 17366.33136
data/results_and_gis/2056 Stage 2/2056 Metro Stage 1&2 LVA v2.csv,TZ16_CODE,integer,500,1; 2; 3
data/results_and_gis/2056 Stage 2/2056 Metro Stage 1&2 LVA v2.csv,unnamed_9,text,500,YES; YES; YES
data/results_and_gis/2056 Stage 2/2056 Metro Stage 1&2 LVA v2.csv,TZ16_NAME,text,500,Barangaroo_Headland Park; Barangaroo_Northern Cove; Barangaroo_Southern Cove
data/results_and_gis/2056 Stage 2/2056 Metro Stage 1&2 LVA v2.csv,Tz16_Area,numeric,500,64884.12626; 74488.64591; 30794.77399
